
qst_deliver_message|{s13}에게 서신을 전달하라
qst_deliver_message_to_enemy_lord|{s13}에게 서신을 전달하라
qst_raise_troops|{reg1} {s14}명을 양성하라
qst_escort_lady|{s14}까지 {s13}을(를) 호위하라
qst_deal_with_bandits_at_lords_village|{s15}을 도적떼로부터 보호하라
qst_collect_taxes|{s3}의 세금을 징수하라
qst_hunt_down_fugitive|{s4}을(를) 찾아내 처형하라
qst_kill_local_merchant|{s3}의 지역 상인을 암살하라
qst_bring_back_runaway_serfs|도망친 농노들을 복귀시켜라
qst_follow_spy|접선 장소까지 첩자를 미행하라
qst_capture_enemy_hero|{s13}에 있는 영주를 생포하라
qst_lend_companion|당신의 동료 {s3}을(를) {s9}에게 동행시켜라
qst_collect_debt|{s3}에게 {s9}의 빚을 징수하라
qst_incriminate_loyal_commander|{s13}의 충직한 사령관인 {s16}에게 누명을 씌워라
qst_meet_spy_in_enemy_town|{s13}에 있는 첩자와 접선하라
qst_capture_prisoners|{s3} {reg1}명을 포로로 잡아오라
qst_lend_surgeon|당신의 군의관 {s3}을(를) {s1}에게 동행시켜라
qst_follow_army|{s9}의 군대와 종군하라
qst_report_to_army|총사령관 {s13}에게 결과를 보고하라
qst_deliver_cattle_to_army|소 {reg3}마리를 {s13}의 군대에 보급하라
qst_join_siege_with_army|{s14} 공성전에 합류하라
qst_screen_army|{s13} 군대의 진격을 저지하라
qst_scout_waypoints|{s13}, {s14}, {s15}의 동향을 정찰하라
qst_rescue_lord_by_replace|{s13}을(를) {s14}에서 구출하라
qst_deliver_message_to_prisoner_lord|{s14}에 있는 {s13}에게 서신을 전달하라
qst_duel_for_lady|{s13}에게 결투를 청하라
qst_duel_courtship_rival|(선택) {s13}에게 결투를 청하라
qst_duel_avenge_insult|{s13}에게 결투를 청하라
qst_move_cattle_herd|소떼를 {s13}까지 이동시켜라
qst_escort_merchant_caravan|여행상단을 {s8}까지 호위하라
qst_deliver_wine|{s4}에 {s6} {reg5}개를 배달하라
qst_troublesome_bandits|골치 아픈 도적들을 추적하라
qst_kidnapped_girl|도적들로부터 납치된 소녀를 구하라
qst_persuade_lords_to_make_peace|두 영주가 평화서약을 맺도록 설득하라
qst_deal_with_looters|약탈자들을 처리하라
qst_deal_with_night_bandits|밤도적들을 처리하라
qst_deliver_grain|밀을 {s3} 마을로 배달하라
qst_deliver_cattle|소 {reg5}마리를 {s3} 마을로 배달하라
qst_train_peasants_against_bandits|{s13}의 농민들이 도적과 맞설 힘을 기르도록 훈련시켜라
qst_rescue_daughter|{s3} 마을 촌장의 딸을 구출하라
qst_escort_peasants|농민들을 {s3}까지 호위하라
qst_eliminate_bandits_infesting_village|{s7}의 마을을 약탈자들로부터 보호하라
qst_visit_lady|귀부인에게 방문하라
qst_formal_marriage_proposal|정식으로 청혼하라
qst_obtain_liege_blessing|정식으로 청혼하라
qst_wed_betrothed|약혼자와 결혼하라
qst_wed_betrothed_female|약혼자와 결혼하라
qst_join_faction|{s1}에게 충성을 맹세하라
qst_rebel_against_kingdom|{s13}에게 {s14}의 왕좌를 되찾아 주어라
qst_consult_with_minister|대신에게 조언을 구하라
qst_organize_feast|축제를 개최하라
qst_resolve_dispute|논쟁을 해결하라
qst_offer_gift|선물을 얻어라
qst_denounce_lord|영주를 비난하라
qst_intrigue_against_lord|주군에 대하여 음모를 꾸며라
qst_track_down_bandits|도적들을 추적하라
qst_track_down_provocateurs|선동꾼을 추적하라
qst_retaliate_for_border_incident|국경분쟁에 대응하라
qst_raid_caravan_to_start_war|중립 상단을 공격하여 전쟁을 일으켜라
qst_cause_provocation|타국을 도발해서 또 다른 나라를 공격하도록 만들어라
qst_rescue_prisoner|포로를 구해내거나 몸값을 지불하라
qst_destroy_bandit_lair|도적들의 소굴을 파괴하라
qst_ghost_lady|유령 아가씨
qst_marauding_jatu|놀도르와 친구되기
qst_order_bounty|{s9}을 위해 추격하기
qst_order_tournament|{s8}의 토너먼트에서 우승하라
qst_order_challenge|명성을 얻으라
qst_order_grandmaster|기사단장에게 돌아가라
qst_order_rivalry|경쟁 기사단을 격파하라
qst_collect_men|사람을 다섯 명 모아라
qst_learn_where_merchant_brother_is|인질이 어디에 있는지 알아내라
qst_save_relative_of_merchant|도적 소굴을 공격하라
qst_save_town_from_bandits|도적들로부터 도시를 보호하라
qst_old_tale_part_1|오래된 폐허에 대한 이야기를 조사하라
qst_old_tale_part_2|오래된 폐허에 기지를 건설하라
qst_horse_armor|오래된 마갑에 대해 알아보아라
qst_quests_end|퀘스트 종료
